Location,Points
"Picadilly Circus, London",2
"Nelson's Column, London",2
"Big Ben, London",2
"100 Club, Oxford Street, London",5
"Fabric, Charterhouse Street, London",5
"The Gherkin, 30 St Mary Axe, London",2
"Tower Bridge, London",2
"The Globe Theatre, London",2
"The Shard, London",2
"City Hall, London",2
"Tate Modern, London",2
"Canary Wharf, London",5
"Olympic Stadium, London",5
"Emirates Greenwhich Peninsula, London",5
"Thames Barrier, London",25
"Cutty Sark, Greenwich, London",2
"Royal Observatory, Greenwich, London",10
"Bow Church, London",5
"Arcelor Mittal Orbit, London",5
"Olympic aquatics centre, London",5
"Barbican, London",4
"Abbey Road Studios, London",7
"Emeriates Stadium, London",5
"Karl Marx's Tomb, London",15
"Alexandra Palace, London",15
"Wembley Stadium, London",20
"Walthamstow Dog Track, London",8
"Lords Cricket Ground, London",5
"Platform 9 & 3/4, Kings Cross, London",2
"St Pancras Station, London",2
"Brixton Academy, London",8
"Crystal Palace Dinosaurs, London",15
"Bandstand in Clapham Common, London",15
"Oval Cricket Ground, London",5
"Herne Hill Velodrome, London",15
"All England Tennis Club, London",20
"Battersea Powerstation, London",5
"Pagoda - Battersea Park, London",5
"Kensington Palace, London",3
"Chelsea (Stamford Bridge Stadium), London",7
"Chiswick House, London",8
"Westfield Stratford, London",8
"Buckingham Palace, London",5
"Harrods, London",5
"Albert Hall, London",5
"Fuller's Griffin Brewery, London",10
"Hammersmith Flyover, London",5
"Trellick Tower, London",4
"Hammersmith Apollo, London",7
"Westfield Hammersmith, London",5
